Make,Model_part,Models,,,,,,,first_word
Chevrolet,Astr,Astro,,,,,,,5
Chevrolet,Aval,"Avalanche1500,AvalancheLS,Avalanche4WD,AvalancheLT,AvalancheLTZ,Avalanche2WD,Avalanche2500",,,,,,,9
Chevrolet,Aveo,"Aveo4dr,Aveo5dr,AveoLT,Aveo1LT",,,,,,,4
Chevrolet,Blaz,"Blazer4dr,Blazer2dr,BlazerFleet",,,,,,,6
Chevrolet,Bolt,Bolt,,,,,,,4
Chevrolet,C,C,,,,,,,1
Chevrolet,C/K,C/K,,,,,,,3
Chevrolet,Cama,"CamaroCoupe,Camaro2dr,CamaroConvertible,Camaro2SS,CamaroLT,Camaro1LS,Camaro2LS,CamaroLS,Camaro1LT,CamaroSS,Camaro",,,,,,,6
Chevrolet,Capt,Captiva,,,,,,,7
Chevrolet,Cava,"Cavalier4dr,Cavalier2dr",,,,,,,8
Chevrolet,Chev,Chevy,,,,,,,5
Chevrolet,City,City,,,,,,,4
Chevrolet,Coba,"Cobalt2dr,Cobalt4dr,CobaltSS",,,,,,,6
Chevrolet,Colo,"ColoradoCrew,Colorado4WD,Colorado2WD,ColoradoExtended,ColoradoRegular,ColoradoLT",,,,,,,8
Chevrolet,Corv,"Corvette2dr,Corvette,CorvetteStingray,CorvetteCoupe,CorvetteConvertible,CorvetteGrand,CorvetteZ06,Corvette427,CorvetteZR1,CorvetteZ51",,,,,,,8
Chevrolet,Cruz,"CruzeLS,CruzeSedan,CruzeLTZ,Cruze1LT,Cruze4dr,CruzeLT,Cruze2LT,Cruze,CruzeDiesel,CruzeHatchback,CruzePremier,CruzeECO,CruzeL,Cruze4d,CruzeLT-38,Cruze1LT/Fleet,CruzeSEDAN,Cruze1FL,CruzeLs",,,,,,,5
Chevrolet,Equi,"EquinoxFWD,EquinoxAWD,Equinox4dr,Equinox2WD,EquinoxLS,Equinox,EquinoxLT,Equinox4d,EquinoxLTZ",,,,,,,7
Chevrolet,Expr,Express,,,,,,,7
Chevrolet,HHR2,HHR2WD,,,,,,,3
Chevrolet,HHR4,HHR4dr,,,,,,,3
Chevrolet,HHRF,HHRFWD,,,,,,,3
Chevrolet,Impa,"ImpalaLS,Impala4dr,Impala2LT,ImpalaLT,ImpalaPremier,ImpalaLTZ,Impala2LTZ,Impala1LTZ,Impala1LT,ImpalaPolice,Impala,ImpalaFirst,ImpalaUnmarked,Impala4d,ImpalaImpala,Impala1LS,ImpalaLT2,ImpalaLimited,ImpalaSEDAN,Impala1WF19,ImpalaSedan,ImpalaOnStar/,Impala2014,Impala3LT,Impala4",,,,,,,6
Chevrolet,Lumi,Lumina4dr,,,,,,,6
Chevrolet,Mali,"Malibu,Malibu1LT,MalibuLS,MalibuLT,MalibuECO,Malibu4dr,Malibu2LTZ,MalibuPremier,MalibuHybrid,Malibu2LT,Malibu1LZ,Malibu1LTZ,Malibu3LT,Malibu2LZ,MalibuSedan,MalibuL,MalibuFleet,MalibuBase,MalibuLTZ,Malibu4d,Malibu1FL,MalibuSEDAN,MalibuClassic,Malibu4DR,MalibuMalibu,Malibu1LS,MalibuFleet*1-Owner*Clean",,,,,,,6
Chevrolet,Mont,Monte,,,,,,,5
Chevrolet,New,New,,,,,,,3
Chevrolet,P,P,,,,,,,1
Chevrolet,Priz,Prizm4dr,,,,,,,5
Chevrolet,S-10,"S-104WD,S-102WD",,,,,,,4
Chevrolet,Silv,Silverado,,,,,,,9
Chevrolet,Soni,"SonicHatch,SonicHatchback,SonicSedan,SonicLT",,,,,,,5
Chevrolet,Spar,"Spark2LT,Spark1LT,SparkLS,Spark4DR,Spark",,,,,,,5
Chevrolet,SSRR,SSRRegular,,,,,,,2
Chevrolet,SSSe,SSSedan,,,,,,,2
Chevrolet,Subu,"Suburban2WD,Suburban4WD,SuburbanLTZ,Suburban4dr,Suburban1500,SuburbanLT,Suburban3/4,Suburban2500,SuburbanLS,SuburbanFleet,Suburban4X4,Suburban,SuburbanCLOTH",,,,,,,8
Chevrolet,Taho,"Tahoe4dr,Tahoe4WD,TahoeLT,Tahoe2WD,TahoePremier,TahoeLTZ,TahoeLS,Tahoe1500,Tahoe,Tahoe2dr,TahoeCommercial,TahoePolice,TahoeSpecial,TahoeHeated",,,,,,,5
Chevrolet,Trac,"Tracker4dr,Tracker2dr",,,,,,,7
Chevrolet,Trai,"TrailBlazer4dr,TrailBlazer4WD,TrailBlazer2WD,TrailBlazerLS",,,,,,,11
Chevrolet,Trav,"TraverseFWD,Traverse2LT,Traverse1LT,TraverseAWD,TraverseLTZ,TraverseLS,TraverseLT",,,,,,,8
Chevrolet,Trax,"TraxFWD,TraxAWD,Trax,Trax1LT",,,,,,,4
Chevrolet,Upla,"Uplander4dr,Uplander",,,,,,,8
Chevrolet,Vent,"Venture,VentureExt,Venture4dr,VentureReg,VentureBase",,,,,,,7
Chevrolet,Volt,"VoltPlug-In,VoltBase,VoltPremier,VoltLT,Volt5dr",,,,,,,4
