Make,Model_part,Models,,,first_word
Honda,Acc,"Accord,AccordLX,AccordSport,AccordSE,AccordEX,AccordLX-P,AccordEX-L,AccordLX-S,AccordBase,AccordTouring,AccordVP,AccordDX",,,6
Honda,Civ,"Civic,CivicManual,CivicVP,CivicEX,CivicLX,CivicContinuously,CivicSi,CivicDX,CivicBase,CivicSE,CivicEX-L,CivicDX-VP,CivicHF,CivicLX-S,CivicNatural,CivicEX-T,CivicGX,CivicLX-P,CivicTouring,Civic4dr,Civic2dr,CivicSport,CivicHybrid,CivicHX,CivicCX",,,5
Honda,CR-,"CR-ZEX,CR-ZCVT,CR-Z3dr,CR-ZAutomatic,CR-ZEX-L,CR-ZLX,CR-ZManual,CR-VLX,CR-VEX,CR-V2WD,CR-V4WD,CR-VEX-L,CR-VSE,CR-V,CR-VTouring,CR-VAutomatic,CR-VONE,CR-ZBase,CR-VBase",,,4
Honda,Cro,"CrosstourEX-L,CrosstourEX",,,9
Honda,Ele,"Element4WD,Element2WD,ElementLX,ElementEX,ElementSC,ElementEX-P,ElementDX",,,7
Honda,Fit,"FitEX,FitLX,FitEX-L,FitAutomatic,FitSport,Fit5dr,FitManual,Fit,FitBase,FitHB",,,3
Honda,HR-,"HR-V2WD,HR-VLX,HR-VAWD,HR-VEX-L,HR-VEX",,,4
Honda,Ins,"Insight5dr,InsightCVT,InsightLX,InsightEX,InsightBase,InsightContinuously",,,7
Honda,Ody,"Odyssey5dr,OdysseyLX,OdysseyEX,Odyssey4dr,OdysseyEX-L,OdysseyEX-RES,OdysseyTouring,OdysseySE,OdysseyElite,OdysseyOdyssey,OdysseyBase,OdysseyLeather",,,7
Honda,Pas,"Passport4WD,PassportEX,Passport2WD",,,8
Honda,Pil,"Pilot2WD,PilotEX-L,Pilot4WD,PilotEX,PilotLX,PilotSE,PilotTouring,PilotElite,Pilot,PilotVP",,,5
Honda,Pre,"Prelude2dr,PreludeBase,PreludeAutomatic",,,7
Honda,Rid,"Ridgeline4WD,RidgelineRTS,RidgelineRT,RidgelineSport,RidgelineSE,RidgelineRTL,RidgelineRTL-T,RidgelineBlack,RidgelineRTL-E,RidgelineRTX",,,9
Honda,S20,"S2000Manual,S20002dr,S2000Base,S2000CR",,,5
