Make,Model_part,Models
Nissan,200,200SX2dr
Nissan,350,350Z2dr
Nissan,370,"370ZCoupe,370Z2dr,370ZRoadster,370ZHeated/Cooled"
Nissan,Alt,"AltimaSedan,Altima2.5,Altima4dr,Altima2017.5,Altima2dr,Altima3.5,AltimaCoupe"
Nissan,Arm,"ArmadaLE,Armada2WD,ArmadaSE,Armada4WD,ArmadaSV,ArmadaPlatinum,ArmadaSL,Armada2008,ArmadaNISSAN"
Nissan,cub,"cubeS,cubeSL,cube5dr"
Nissan,Fro,"Frontier,FrontierKing,FrontierCrew,FrontierS,Frontier2WD,Frontier4WD,FrontierSE,FrontierSV"
Nissan,GT-,"GT-R2dr,GT-RBlack,GT-RPremium,GT-RTrack,GT-RNISMO"
Nissan,JUK,"JUKES,JUKEFWD,JUKE5dr,JUKESV,JUKESL,JUKENISMO,JUKEAWD"
Nissan,LEA,"LEAFS,LEAFSL,LEAFSV,LEAF4dr"
Nissan,Max,"Maxima3.5,Maxima4dr,MaximaS,MaximaSV,MaximaSR,MaximaSL,MaximaPlatinum,Maxima"
Nissan,Mur,"Murano2WD,MuranoSV,MuranoAWD,MuranoSL,MuranoS,Murano4dr,MuranoLE,MuranoFWD,Murano2017.5,Murano"
Nissan,NV,NV
Nissan,NV1,NV1500
Nissan,NV2,"NV200,NV200S,NV200SV,NV2500"
Nissan,NV3,NV3500
Nissan,NVH,NVHigh
Nissan,NVP,"NVP3500,NVPV8,NVPV6"
Nissan,NVS,NVStandard
Nissan,Pat,"PathfinderSV,PathfinderS,Pathfinder2WD,Pathfinder4WD,PathfinderSL,PathfinderSE,PathfinderPlatinum,PathfinderLE,Pathfinder,PathfinderXE,PathfinderHybrid,Pathfinder4dr,Pathfinder99.5"
Nissan,Que,"QuestSV,QuestS,QuestPlatinum,Quest4dr,QuestSL,Quest3dr,QuestLE"
Nissan,Rog,"Rogue,RogueS,RogueSV,RogueSL,RogueFWD,RogueAWD,Rogue2017.5,Rogue4DR"
Nissan,Sen,"SentraS,Sentra4dr,SentraFE+,SentraSV,SentraSR,SentraSL,SentraNISMO,Sentra"
Nissan,Tit,"Titan2WD,TitanSingle,TitanKing,TitanCrew,Titan4WD,Titan,TitanSE,TitanLE"
Nissan,Tru,Trucks
Nissan,Ver,"Versa,VersaS,Versa1.6,VersaSL,VersaSV,Versa5dr,Versa4dr"
Nissan,Xte,"Xterra2WD,Xterra4dr,Xterra4WD,XterraX,XterraS,XterraPRO-4X"
